Год,Тип,Название,Соавторы,Издательство,Темы,Страницы,DOI,EDN,Ссылка,Полное описание
2026,Программа / планирование,Календарно-тематическое планирование образовательной деятельности: в соответствии с ФОП ДО: старшая группа детского сада,Бережнова О.В.; Лыкова И.А.; Петерсон Л.Г.; Бойко В.В.; Григорьева Ю.С.; Гризик Т.И.; Кочемасова Е.Е.,Просвещение,Планирование образовательной деятельности; Дошкольное образование,,,,,"Бережнова О.В., Лыкова И.А., Петерсон Л.Г., Тимофеева Л.Л., Бойко В.В., Григорьева Ю.С., Гризик Т.И., Кочемасова Е.Е. Календарно-тематическое планирование образовательной деятельности: в соответствии с ФОП ДО: старшая группа детского сада; под. ред. О.В. Бережновой. М.: Просвещение, 2026. 235 с"
2026,Статья в сборнике,Компетенции тьютора в обеспечении информационной безопасности обучающихся в цифровой среде,Гурова О.Н.,,Информационная культура и безопасность; Культура безопасности,с. 290–296,,,,"Тимофеева Л.Л., Гурова О.Н. Компетенции тьютора в обеспечении информационной безопасности обучающихся в цифровой среде // Тьюторство в открытом образовательном пространстве: индивидуализация и тьюторство в социальных и профессиональных проектах : Материалы XVIII Международной научно-практической конференции, 29–31 октября 2025 г., г. Москва / под ред. Т. М. Ковалевой, О. Н. Мачехиной, Е. А. Волошиной. М.: ГАОУ ВО МГПУ, ООО ""А-Приор"", 2026. 334 с. С. 290–296"
2026,Статья в журнале,Культура безопасности: этапы эволюции и механизмы репрезентации с древнейших времен до современности,Гафнер В.В.,,Культура безопасности,с. 34–46,,,,"Тимофеева Л.Л., Гафнер В.В. Культура безопасности: этапы эволюции и механизмы репрезентации с древнейших времен до современности // Педагогика. 2026. Т. 90, № 3. С. 34–46"
2026,Статья в журнале,Проблема несоответствия ФГОС НОО и законодательства Российской Федерации в области безопасности,Гафнер В.В.,,Культура безопасности; Планирование образовательной деятельности,с. 7–12,,,,"Гафнер В.В., Тимофеева Л.Л. Проблема несоответствия ФГОС НОО и законодательства Российской Федерации в области безопасности // ОБЖ: основы безопасности жизни. 2026. № 1. С. 7–12"
2026,Статья в сборнике,Проблемы формирования естественно-научной грамотности младшего школьника,,Изд-во НШУОС,Естественно-научная грамотность; Функциональная грамотность,с. 588–592,,,,"Тимофеева Л.Л. Проблемы формирования естественно-научной грамотности младшего школьника // Шамовские чтения: сборник статей XVIII Международной научно.-практической конференции. г. Москва, 24-31 января 2026 г. В 2 т. Т. 2. – М.: Изд-во НШУОС, 2026. – 1161 с. С. 588–592"
2026,Статья в журнале,Роль духовно-нравственного воспитания в становлении социально-экологической направленности личности,Михайлова А.Е.; Лях Ю.А.; Замолоцких Е.Г.; Третьяков А.Л.,,Экологическое образование; Духовно-нравственное воспитание,с. 66–76,,,,"Тимофеева Л.Л., Михайлова А.Е., Лях Ю.А., Замолоцких Е.Г., Третьяков А.Л. Роль духовно-нравственного воспитания в становлении социально-экологической направленности личности // Новое в психолого-педагогических исследованиях. 2026. № 2 (81). С. 66–76"
2026,Статья в сборнике,Роль тьюторства в подготовке педагога к инновационной деятельности в сфере дошкольного образования,Михайлова А.Е.,,Профессиональное развитие педагогов; Дошкольное образование,с. 296–302,,,,"Тимофеева Л.Л., Михайлова А.Е. Роль тьюторства в подготовке педагога к инновационной деятельности в сфере дошкольного образования // Тьюторство в открытом образовательном пространстве: индивидуализация и тьюторство в социальных и профессиональных проектах : Материалы XVIII Международной научно-практической конференции, 29–31 октября 2025 г., г. Москва / под ред. Т. М. Ковалевой, О. Н. Мачехиной, Е. А. Волошиной. М.: ГАОУ ВО МГПУ, ООО ""А-Приор"", 2026. 334 с. С. 296–302"
2025,Статья в сборнике,Анализ подходов к оценке уровня сформированности информационной грамотности у студентов колледжа,Байбекова Г.Р.,Издат. центр Сарат. гос. мед. ун-та,Информационная культура и безопасность; Функциональная грамотность,с. 68–74,,,,"Байбекова Г.Р., Тимофеева Л.Л. Анализ подходов к оценке уровня сформированности информационной грамотности у студентов колледжа // Материалы VI междунар. конференции посвящённой Всемирному дню качества; Саратовский государственный медицинский университет имени В. И. Разумовского. – Саратов: Издат. центр Сарат. гос. мед. ун-та, 2025. – 545 с. С. 68–74"
2025,Статья в сборнике,Безопасное применение технологий искусственного интеллекта в дошкольном образовании,Лапина В.Ю.,МПСУ,Культура безопасности; Дошкольное образование,с. 1520–1525,10.51944/9785977010313.,,,"Лапина В.Ю., Тимофеева Л.Л. Безопасное применение технологий искусственного интеллекта в дошкольном образовании // Актуальные проблемы современной России: психология, педагогика, экономика, управление и право: сборник научных трудов / отв. ред.: А.Л. Третьяков. – Том 14. – Москва: МПСУ, 2025. – 2562 с. – DOI: 10.51944/9785977010313. С. 1520–1525"
2025,Статья в сборнике,Взаимосвязь понятий «информационная культура» и «информационная безопасность»,Гурова О.Н.; Байбекова Г.Р.,МПГУ,Информационная культура и безопасность; Культура безопасности,с. 84–92,,,,"Гурова О.Н., Байбекова Г.Р., Тимофеева Л.Л. Взаимосвязь понятий «информационная культура» и «информационная безопасность» // Национальная безопасность Российской Федерации и сбережение российского народа: материалы VIII Международной научно-практической конференции, г. Москва, 27 ноября 2025 г. / под общ. ред. проф. Н. Е. Симонова. [Электронное издание сетевого распространения]. – Москва: МПГУ, 2025. – 559 с.: ил. С. 84–92"
